advertiser_id,advertiser_name,region,vertical,account_tier,signup_date,rep_id,churn_date
ADV0283,Solstice Co,North America,Finance & Fintech,SMB,2025-08-29,REP004,2025-11-27
ADV0284,Solstice Collective,Southeast Asia,Gaming,Mid-Market,2025-07-24,REP017,
ADV0285,Solstice Digital,Japan & Korea,E-commerce & Retail,SMB,2024-07-06,REP033,2024-12-03
ADV0286,Solstice Group,Japan & Korea,E-commerce & Retail,Enterprise,2023-03-22,REP033,
ADV0287,Solstice Holdings,Southeast Asia,Travel & Hospitality,Enterprise,2025-05-31,REP002,
ADV0288,Solstice Labs,Japan & Korea,Gaming,Mid-Market,2022-08-17,REP033,2025-01-27
ADV0289,Solstice Media,North America,Food & Beverage,Mid-Market,2022-11-10,REP034,
ADV0290,Solstice Studios,Japan & Korea,E-commerce & Retail,SMB,2022-01-20,REP033,2024-09-29
ADV0291,Solstice Works,North America,Finance & Fintech,SMB,2024-09-12,REP016,2025-01-10
ADV0292,Summit Brands,Europe,Gaming,SMB,2023-01-05,REP040,
ADV0293,Summit Co,Australia & NZ,Gaming,SMB,2024-02-19,REP008,2025-09-24
ADV0294,Summit Collective,Japan & Korea,E-commerce & Retail,Enterprise,2025-06-20,REP033,
ADV0295,Summit Group,North America,Automotive,SMB,2024-10-18,REP034,2025-11-12
ADV0296,Summit Holdings,Europe,Education,SMB,2022-04-13,REP020,2024-09-29
ADV0297,Summit Interactive,Southeast Asia,Travel & Hospitality,Mid-Market,2023-09-23,REP041,2025-06-26
ADV0298,Summit Labs,Japan & Korea,Travel & Hospitality,Mid-Market,2025-05-13,REP033,2025-06-12
ADV0299,Summit Media,North America,Gaming,SMB,2024-04-01,REP011,2024-07-31
ADV0300,Summit Partners,Europe,Beauty & Personal Care,SMB,2025-03-18,REP025,2025-06-16
ADV0301,Summit Retail,Southeast Asia,Finance & Fintech,Mid-Market,2022-07-04,REP002,2024-08-30
ADV0302,Summit Studios,Europe,Gaming,Enterprise,2023-12-14,REP019,
ADV0303,Summit Ventures,Southeast Asia,Finance & Fintech,SMB,2024-11-20,REP002,2024-12-20
ADV0304,Summit Works,Southeast Asia,Finance & Fintech,SMB,2023-10-14,REP036,2025-04-27
ADV0305,Terra Co,Australia & NZ,E-commerce & Retail,Mid-Market,2022-10-07,REP039,
ADV0306,Terra Collective,Australia & NZ,E-commerce & Retail,SMB,2023-09-23,REP006,
ADV0307,Terra Commerce,Australia & NZ,Travel & Hospitality,SMB,2024-03-24,REP006,2025-11-23
ADV0308,Terra Digital,Southeast Asia,Gaming,SMB,2025-07-28,REP024,
ADV0309,Terra Group,Europe,E-commerce & Retail,Mid-Market,2023-11-19,REP020,2025-05-27
ADV0310,Terra Interactive,Southeast Asia,Beauty & Personal Care,SMB,2025-01-22,REP002,2025-11-18
ADV0311,Terra Media,Japan & Korea,Finance & Fintech,SMB,2023-05-29,REP033,2024-11-28
ADV0312,Terra Partners,Europe,Travel & Hospitality,Enterprise,2025-01-27,REP020,
ADV0313,Terra Retail,Southeast Asia,Gaming,Enterprise,2023-09-10,REP021,
ADV0314,Terra Works,Japan & Korea,Automotive,SMB,2025-05-23,REP033,2025-06-22
ADV0315,Vector Digital,Europe,E-commerce & Retail,Mid-Market,2024-10-01,REP013,
ADV0316,Vector Group,Japan & Korea,Travel & Hospitality,Mid-Market,2025-07-26,REP033,
ADV0317,Vector Holdings,North America,Finance & Fintech,SMB,2022-03-15,REP042,2024-08-30
ADV0318,Vector Interactive,Southeast Asia,Education,Mid-Market,2024-02-02,REP002,2025-05-27
ADV0319,Vector Media,North America,E-commerce & Retail,SMB,2023-05-30,REP014,
ADV0320,Vector Retail,Japan & Korea,E-commerce & Retail,SMB,2022-06-10,REP033,2024-08-30
ADV0321,Vector Studios,North America,Beauty & Personal Care,SMB,2025-01-03,REP011,2025-04-03
ADV0322,Vector Ventures,Europe,Finance & Fintech,Mid-Market,2025-07-24,REP028,
ADV0323,Vertex Brands,Australia & NZ,E-commerce & Retail,SMB,2023-09-03,REP006,2024-07-31
ADV0324,Vertex Commerce,Australia & NZ,Food & Beverage,SMB,2022-06-11,REP007,2024-07-31
ADV0325,Vertex Digital,Japan & Korea,Finance & Fintech,SMB,2025-03-02,REP005,2025-09-28
ADV0326,Vertex Holdings,North America,Gaming,SMB,2024-05-02,REP042,
ADV0327,Vertex Labs,Europe,E-commerce & Retail,SMB,2023-01-06,REP028,2024-08-30
ADV0328,Vertex Media,North America,Gaming,SMB,2025-03-02,REP004,2025-05-01
ADV0329,Vertex Studios,Southeast Asia,Gaming,SMB,2025-02-13,REP024,2025-07-13
ADV0330,Vertex Ventures,Japan & Korea,Gaming,SMB,2022-12-31,REP033,2024-12-28
ADV0331,Vertex Works,Southeast Asia,E-commerce & Retail,Enterprise,2025-05-25,REP032,
ADV0332,Zephyr Brands,Japan & Korea,Education,Mid-Market,2025-04-12,REP005,
ADV0333,Zephyr Co,North America,Beauty & Personal Care,Enterprise,2025-04-14,REP035,
ADV0334,Zephyr Commerce,Southeast Asia,Finance & Fintech,SMB,2025-08-10,REP021,
ADV0335,Zephyr Group,North America,Food & Beverage,SMB,2024-01-26,REP001,2025-10-24
ADV0336,Zephyr Interactive,North America,Automotive,SMB,2023-08-14,REP027,2025-03-28
ADV0337,Zephyr Partners,Australia & NZ,E-commerce & Retail,SMB,2024-11-10,REP039,2025-01-09
ADV0338,Zephyr Studios,Europe,Finance & Fintech,SMB,2024-04-06,REP019,2025-10-24
ADV0339,Zephyr Ventures,Europe,Travel & Hospitality,Mid-Market,2022-12-03,REP040,
ADV0340,Zephyr Works,Southeast Asia,Finance & Fintech,Enterprise,2023-07-15,REP024,2025-10-24
